"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,L2,L3,L4,Power1,D3";"LED_0805";6;"LED";;;
2;"REF**";"1pin-7mm";1;"1pin";;;
3;"BUTTON_L1,BUTTON_L2,BUTTON_L3,BUTTON_L4,BUTTON_L5,BUTTON_L6,BUTTON_L7,BUTTON_L8,PROGRAM1,RESET1";"SW_SPST_B3S-1000";10;"SW_PUSH";;;
4;"C1,C10";"C_0805_HandSoldering";2;"10uF";;;
5;"C2,C3,C11";"C_0805_HandSoldering";3;"1uF";;;
6;"D1";"Pin_Header_Straight_1x04";1;"Led_RGB_CA";;;
7;"Infrared1,L1,L5";"LED_0805";3;"LEDs:LED-5MM";;;
8;"P1";"USB_Micro-B";1;"USB_OTG";;;
9;"P2";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
10;"Power2,Program1";"Pin_Header_Straight_1x02";2;"CONN_01X02";;;
11;"R1,R2,R3,R4,R5,R6,R7,R9,R10";"R_0805_HandSoldering";9;"100";;;
12;"R8,R11,R12,R13,R16,R17,R18,R19";"R_0805_HandSoldering";8;"100 Ohm";;;
13;"R14,R15";"R_0805_HandSoldering";2;"10k Ohm";;;
14;"TH1";"R_0805_HandSoldering";1;"100 Ohm THERMISTOR";;;
15;"U1";"ESP-12E";1;"ESP-12E";;;
16;"U2";"IR_Receiver";1;"TSOP38238";;;
17;"U4";"MC78L05ACH-SOT89-3_Housing_Handsoldering";1;"MC78L05ACH";;;
18;"U3";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"74HC595";;;
19;"U5";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"74LS165";;;
20;"C5";"C_0805_HandSoldering";1;"22pF";;;
21;"C6";"C_0805_HandSoldering";1;"0.1 uF";;;
22;"C7";"C_0805_HandSoldering";1;"1 uF";;;
23;"U6";"SSOP-20W";1;"CH340H/T";;;
24;"Y1";"Crystal_SMD_5032_2Pads";1;"12 MHz Crystal";;;
25;"C4";"C_0805_HandSoldering";1;"22 pF";;;
26;"REF**";"1pin-6mm";1;"1pin";;;
27;"C8,C9";"C_0805_HandSoldering";2;"4.7 uF";;;
28;"R20,R22";"R_0805_HandSoldering";2;"470 Ohm";;;
29;"R21";"R_0805_HandSoldering";1;"4k Ohm";;;
30;"U7";"SOT-23-5";1;"MCP73831";;;
